groom_name,hair_width
vinefx_groom_01-1_curly-M,0.019
vinefx_groom_01-2_curly-M,0.019
vinefx_groom_02-1_afro-MF,0.015
vinefx_groom_02-2_afro-MF,0.015
vinefx_groom_03-1_short-casual-MF,0.023
vinefx_groom_03-2_short-casual-MF,0.01
vinefx_groom_04-1_pixie-MF,0.013
vinefx_groom_04-2_pixie-MF,0.013
vinefx_groom_05-1_straight-hair-M,0.02
vinefx_groom_05-2_straight-hair-M,0.02
vinefx_groom_06-1_slicked-back-M,0.02
vinefx_groom_06-2_slicked-back-M,0.02
vinefx_groom_07-1_medium-layered-bob-MF,0.021
vinefx_groom_07-2_medium-layered-bob-MF,0.021
vinefx_groom_08-1_medium-straight-F,0.024
vinefx_groom_08-2_medium-straight-F,0.013
vinefx_groom_09-1_medium-straight-bob-F,0.009
vinefx_groom_09-2_medium-straight-bob-F,0.013
vinefx_groom_10-1_bun-F,0.015
vinefx_groom_10-2_bun-F,0.071
vinefx_groom_11-1_mullet-MF,0.019
vinefx_groom_11-2_mullet-MF,0.019
vinefx_groom_12-1_curly-F,0.018
vinefx_groom_12-2_curly-F,0.018
vinefx_groom_13-1_curtained-M,0.015
vinefx_groom_13-2_curtained-M,0.015
vinefx_groom_14-1_tail-high-MF,0.024
vinefx_groom_14-2_tail-low-F,0.027
vinefx_groom_15-1_messy-M,0.029
vinefx_groom_15-2_messy-M,0.023
vinefx_groom_16-1_straight-top-M,0.015
vinefx_groom_16-2_straight-top-M,0.015
vinefx_groom_17-1_square-M,0.015
vinefx_groom_17-2_square-M,0.015
vinefx_groom_18-1_short-bob-F,0.028
vinefx_groom_18-2_short-bob-F,0.028
vinefx_groom_19-1_U-shape-F,0.015
vinefx_groom_19-2_U-shape-F,0.015
vinefx_groom_20-1_low-afro-F,0.017
vinefx_groom_20-2_low-afro-F,0.017